                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3904,                 1.0358,                 1.3218,                0.67092,                0.70575,                0.70416,                0.51845,                0.97527,                 1.0272,                 1.1968,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.4176,                 1.0428,                 1.3344,                0.77392,                0.63077,                0.72091,                0.54488,                0.94339,                 1.0261,                 1.1677,               0.001307,               0.001307,               0.001307
                     37,                 1.3995,                 1.0379,                 1.3239,                0.74981,                0.64615,                0.69179,                0.51746,                0.93912,                0.97242,                 1.1771,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.3861,                 1.0152,                   1.32,                0.69854,                0.64615,                0.69413,                0.53267,                0.87231,                 1.0301,                  1.146,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.3789,                 1.0087,                 1.3148,                0.74004,                0.65385,                0.70717,                0.52169,                0.96952,                 1.0071,                 1.1955,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.3781,                 1.0027,                 1.3101,                0.76776,                0.65385,                0.72833,                0.52892,                0.94067,                0.94489,                 1.1934,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.3674,                0.98631,                  1.303,                0.78241,                0.68462,                0.73368,                0.52916,                0.99264,                 0.9208,                 1.1773,               0.001208,               0.001208,               0.001208
                     42,                 1.3583,                0.97919,                 1.2967,                0.69074,                0.73077,                0.72354,                0.54321,                0.92721,                0.94184,                 1.1829,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.3566,                0.98435,                 1.3005,                0.73799,                0.68462,                0.75399,                0.55769,                 0.9525,                0.89294,                 1.1727,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.3618,                0.99191,                 1.3034,                0.72168,                0.67817,                 0.7054,                0.52484,                0.96022,                0.97279,                  1.209,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.3568,                0.97997,                  1.297,                0.74486,                0.65125,                0.72193,                 0.5385,                0.92412,                 1.0089,                 1.1217,              0.0011288,              0.0011288,              0.0011288
                     46,                  1.338,                0.94931,                 1.2896,                0.79093,                0.69231,                0.74595,                0.52676,                0.95892,                0.95889,                 1.1809,               0.001109,               0.001109,               0.001109
                     47,                 1.3519,                0.95972,                   1.29,                0.77075,                0.67244,                0.73319,                0.53353,                0.90874,                0.94638,                  1.149,              0.0010892,              0.0010892,              0.0010892
